project_id,transaction_id,tract_geoid_2010,metro_2010,year,cde_name,qlici_amount,city,state,zip,purpose,qalicb_type,multi_cde,multi_tract
FL0144,2615,12055960200,Non-Metropolitan,2016,"Florida Community Loan Fund, Inc.",1860833,Avon Park,FL,33825,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0145,2616,12001000700,Metropolitan,2016,"Florida Community Loan Fund, Inc.",5222400,Gainesville,FL,32601,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0145,2617,12001000700,Metropolitan,2016,"Florida Community Loan Fund, Inc.",1194694,Gainesville,FL,32601,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0145,2618,12001000700,Metropolitan,2016,"Florida Community Loan Fund, Inc.",3082906,Gainesville,FL,32601,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0146,2619,12033000300,Metropolitan,2016,"Stonehenge Community Development, LLC",899460,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0146,2620,12033000300,Metropolitan,2016,"Stonehenge Community Development, LLC",884500,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0146,2621,12033000300,Metropolitan,2016,"Stonehenge Community Development, LLC",1216040,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0147,2622,12086004206,Metropolitan,2016,"CCG Community Partners, LLC",2414750,Miami Beach,FL,33139,Real Estate–Rehabilitation–Commercial,RE,NO,NO
FL0147,2623,12086004206,Metropolitan,2016,"CCG Community Partners, LLC",1015250,Miami Beach,FL,33139,Real Estate–Rehabilitation–Commercial,RE,NO,NO
FL0148,2624,12033002100,Metropolitan,2017,"United Bancorporation of Alabama, Inc",1960000,Pensacola,FL,32506,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
FL0149,2625,12086007002,Metropolitan,2017,"Raza Development Fund, Inc.",5619200,Miami,FL,33133,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0149,2626,12086007002,Metropolitan,2017,"Raza Development Fund, Inc.",2220800,Miami,FL,33133,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0149,2627,12086007002,Metropolitan,2017,"SunTrust Community Development Enterprises, LLC",1344800,MIAMI,FL,33133,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0149,2628,12086007002,Metropolitan,2017,"SunTrust Community Development Enterprises, LLC",655200,MIAMI,FL,33133,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0150,2629,12033001300,Metropolitan,2017,"Black Business Investment Fund, Inc.",649000,Pensacola,FL,32503,Business Financing,NRE,NO,NO
FL0151,2630,12091020500,Metropolitan,2017,"Black Business Investment Fund, Inc.",1000000,Crestview,FL,32536,Real Estate–Rehabilitation–Commercial,RE,NO,NO
FL0152,2631,12113010600,Metropolitan,2017,"Black Business Investment Fund, Inc.",1321000,Milton,FL,32570,Business Financing,NRE,NO,NO
FL0153,2632,12057010808,Metropolitan,2017,"Black Business Investment Fund, Inc.",1459200,Tampa,FL,33613,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0153,2633,12057010808,Metropolitan,2017,"Black Business Investment Fund, Inc.",520800,Tampa,FL,33613,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0153,2634,12057010808,Metropolitan,2017,"SunTrust Community Development Enterprises, LLC",1323563,Tampa,FL,33613,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0153,2635,12057010808,Metropolitan,2017,"SunTrust Community Development Enterprises, LLC",2426437,Tampa,FL,33613,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0154,2636,12071000700,Metropolitan,2017,"Florida Community Loan Fund, Inc.",6651000,Ft. Myers,FL,33901,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
